,en,cs,pl,de
PID-RELEASE,r20161130a,161110,161110,161110
addresses.name,Name *,,,
addresses.line1,Line 1 *,,,
addresses.line2,Line 2,,,
addresses.city,City *,,,
addresses.postalCode,Postal code *,,,
addresses.state,State,,,
addresses.country,Country *,,,
addresses.nameInvalid,Name invalid,,,
addresses.line1Invalid,Line 1 invalid,,,
addresses.line2Invalid,Line 2 invalid,,,
addresses.cityInvalid,City invalid,,,
addresses.postalCodeInvalid,Postal code invalid,,,
addresses.stateInvalid,State invalid,,,
addresses.countryInvalid,Country invalid,,,
addresses.namePlaceholder,John Doe,,,
addresses.line1Placeholder,Martense Avenue 526,,,
addresses.line2Placeholder,Flat 13,,,
addresses.cityPlaceholder,New Jersey,,,
addresses.postalCodePlaceholder,07666,,,
addresses.statePlaceholder,Pennsylvania,,,
addresses.countryPlaceholder,USA,,,
login_page.please,"Please, log-in or","Prosím, přihlaš se nebo si",Zaloguj się lub,"Bitte, melde sich an oder"
login_page.Sign-Up,Sign-Up,Vytvoř účet,Załóż konto,Registriere sich
login_page.email,E-mail,Zadej e-mail,E-mail,E-mail
login_page.invalid-email,Invalid email address,Neplatná e-mailová adresa,Niepoprawny adres e-mail,Ungültiger E-mail
login_page.password,Password,Heslo,Hasło,Passwort
login_page.loginFailed,Login failed,Špatné přihlášení,Nie udało się zalogować,Anmeldung fehlgeschlagen
login_page.forgot,Forgot password?,,,
login_page.proceed,Proceed here,,,
signup_page.name,your full name *,Tvé celé jméno  *,Imię i nazwisko  *,Vorname und Nachname  *
signup_page.phone,phone number *,Telefonní číslo,Numer telefonu,Telefonnummer
signup_page.email,e-mail *,E-mail  *,E-mail  *,E-mail  *
signup_page.password,password *,Heslo  *,Hasło  *,Passwort  *
signup_page.confirmation,password confirmation *,Potvrzení hesla  *,Potwierdź hasło  *,Passwort Bestätigung  *
signup_page.nameInvalid,Invalid name,Neplatné jméno,Niepoprawne imię lub nazwisko,Ungültiger Name
signup_page.phoneInvalid,Invalid phone number,Neplatné telefonní číslo,Niepoprawny numer telefonu,Ungültiger Telefonnummer
signup_page.emailInvalid,Invalid email address,Neplatná e-mailová adresa,Niepoprawny adres e-mail,Ungültiger E-mail
signup_page.loginFailed,Login failed,Špatné přihlášení,Nie udało się zalogować,Anmeldung fehlgeschlagen
signup_page.minimumLength,Minimum length is,Minimální délka je,Długość minimum,Mindestens
signup_page.noMatching,Not matching password.,Heslo se neshoduje,Hasło się nie zgadza,Nicht passendes Passwort
signup_page.userNotCreated,"User was not created, it might exist already.",,,
signup_page.loading,Loading,,,
pageBase.Dashboard,Dashboard,,,
pageBase.Issues,Issues,,,
pageBase.Admin,Admin,,,
pageBase.Modules,Modules,,,
pageBase.marketingSettings,Marketing Settings,,,
pageBase.reservationButton,Reservation Button,,,
pageBase.mrParkitIntegration,Mr. Parkit Integration,,,
pageBase.goPublic,Go Public,,,
pageBase.Garage setup,Garage setup,,,
pageBase.garageSetupFloors,Garage floors,,,
pageBase.garageSetupGates,Garage gates,,,
pageBase.garageSetupOrder,Garage order,,,
pageBase.garageSetupSubscribtion,Garage subscribtion,,,
pageBase.Finance,Finance,,,
