,en,cs,de,pl
login_page.please,"Please, log-in or","Prosím, přihlaš se nebo si","Bitte, melde sich an oder",Zaloguj się lub
login_page.Sign-Up,Sign-Up,Vytvoř účet,Registriere sich,Załóż konto
login_page.email,E-mail,Zadej e-mail,E-mail,E-mail
login_page.invalid-email,Invalid email address,Neplatná e-mailová adresa,Ungültiger E-mail,Niepoprawny adres e-mail
login_page.password,Password,Heslo,Passwort,Hasło
login_page.loginFailed,Login failed,Špatné přihlášení,Anmeldung fehlgeschlagen,Nie udało się zalogować
signup_page.name,your full name*,Tvé celé jméno,Vorname und Nachname,Imię i nazwisko
signup_page.phone,phone number,Telefonní číslo,Telefonnummer,Numer telefonu
signup_page.email,E-mail *,E-mail,E-mail,E-mail
signup_page.password,Password *,Heslo,Passwort,Hasło
signup_page.confirmation,Password confirmation *,Potvrzení hesla,Passwort Bestätigung,Potwierdź hasło
signup_page.nameInvalid,Invalid name,Neplatné jméno,Ungültiger Name,Niepoprawne imię lub nazwisko
signup_page.phoneInvalid,Invalid phone number,Neplatné telefonní číslo,Ungültiger Telefonnummer,Niepoprawny numer telefonu
signup_page.emailInvalid,Invalid email address,Neplatná e-mailová adresa,Ungültiger E-mail,Niepoprawny adres e-mail
signup_page.loginFailed,Login failed,Špatné přihlášení,Anmeldung fehlgeschlagen,Nie udało się zalogować
signup_page.minimumLength,Minimum length is,Minimální délka je,Mindestens,Długość minimum
signup_page.noMatching,Not matching password.,Heslo se neshoduje,Nicht passendes Passwort,Hasło się nie zgadza
pageBase.Reservation,Reservation,Rezervace,Reservierung,Rezerwacja
pageBase.Reservations,Reservations,Rezervace,Reservierungen,Rezerwacje
pageBase.Accounts,Accounts,Účty,Konten,Konta
pageBase.Account & Users,Client accounts,Zákaznické účty,Kundenkonten,Konta klienta
pageBase.New Reservation,New Reservation,Nová rezervace,Neue Reservierung,Nowa rezerwacja
pageBase.Garages,Garages,Garáže,Garagen,Garaże
pageBase.Settings,Profile settings,Nastavení profilu,Profileinstellungen,Ustawienia profilu
pageBase.Users,Users,Uživatelé,Benutzer,Użytkownicy
pageBase.Logout,Logout,Odhlášení,Ausloggen,Wyloguj się
pageBase.notifications,Notifications,Upozornění,Mitteilungen,Powiadomienia
pageBase.error,Error,Chyba,Fehler,Błąd
pageBase.reservationsHint,Here you have list of all reservations within your account.,Zde najdeš všechny rezervace pro Váš účet.,DE: Here you have list of all reservations within your account.,Tutaj znajdziesz wszystkie swoje rezerwacje.
