,en,cs,pl,de
PID-RELEASE,161110,161110,161110,161110
login_page.please,"Please, log-in or","Prosím, přihlaš se nebo si",Zaloguj się lub,"Bitte, melde sich an oder"
login_page.Sign-Up,Sign-Up,Vytvoř účet,Załóż konto,Registriere sich
login_page.email,E-mail,Zadej e-mail,E-mail,E-mail
login_page.invalid-email,Invalid email address,Neplatná e-mailová adresa,Niepoprawny adres e-mail,Ungültiger E-mail
login_page.password,Password,Heslo,Hasło,Passwort
login_page.loginFailed,Login failed,Špatné přihlášení,Nie udało się zalogować,Anmeldung fehlgeschlagen
signup_page.name,your full name*,Tvé celé jméno  *,Imię i nazwisko  *,Vorname und Nachname  *
signup_page.phone,phone number,Telefonní číslo,Numer telefonu,Telefonnummer
signup_page.email,E-mail *,E-mail  *,E-mail  *,E-mail  *
signup_page.password,Password *,Heslo  *,Hasło  *,Passwort  *
signup_page.confirmation,Password confirmation *,Potvrzení hesla  *,Potwierdź hasło  *,Passwort Bestätigung  *
signup_page.nameInvalid,Invalid name,Neplatné jméno,Niepoprawne imię lub nazwisko,Ungültiger Name
signup_page.phoneInvalid,Invalid phone number,Neplatné telefonní číslo,Niepoprawny numer telefonu,Ungültiger Telefonnummer
signup_page.emailInvalid,Invalid email address,Neplatná e-mailová adresa,Niepoprawny adres e-mail,Ungültiger E-mail
signup_page.loginFailed,Login failed,Špatné přihlášení,Nie udało się zalogować,Anmeldung fehlgeschlagen
signup_page.minimumLength,Minimum length is,Minimální délka je,Długość minimum,Mindestens
signup_page.noMatching,Not matching password.,Heslo se neshoduje,Hasło się nie zgadza,Nicht passendes Passwort
pageBase.Reservation,Reservation,Rezervace,Rezerwacja,Reservierung
pageBase.Reservations,Reservations,Rezervace,Rezerwacje,Reservierungen
pageBase.Accounts,Accounts,Účty,Konta,Konten
pageBase.Account & Users,Client accounts,Zákaznické účty,Konta klienta,Kundenkonten
pageBase.New Reservation,New Reservation,Nová rezervace,Nowa rezerwacja,Neue Reservierung
pageBase.NewGarage,Setup New Garage,Vytvoření nové garáže,,
pageBase.Garages,Garages,Garáže,Garaże,Garagen
pageBase.Settings,Profile settings,Nastavení profilu,Ustawienia profilu,Profileinstellungen
pageBase.Users,Users,Uživatelé,Użytkownicy,Benutzer
pageBase.Logout,Logout,Odhlášení,Wyloguj się,Ausloggen
pageBase.notifications,Notifications,Upozornění,Powiadomienia,Mitteilungen
pageBase.error,Error,Chyba,Błąd,Fehler
